sein	be
und	and
zu	to
haben	have
es	it
ich	I
sie	you
er	he
mit	with
machen	do
sagen	say
sie	they
aber	but
wir	we
nicht	not
oder	or
wie	as
was	what
gehen	go
ihr	their
wer	who
bekommen	get
ob	if
würde	would
ihr	her
machen	make
über	about
kennen	know
werden	will
ein	one
die Zeit	the time
dort	there
das Jahr	the year
denken	think
wann	when
welche	which
etwas	something
mich	me
die Menschen	people
nehmen	take
aus	out
in	into
sehen	see
Ihre	your
kommen	come
jetzt	now
als	than
mögen	like
andere	other
dann	then
es ist	it is
unser	our
zwei	two
mehr	more
wollen	want
der Weg	the way
aussehen	look
zuerst	first
ebenfalls	also
neu	new
weil	because
der Tag	the day
benutzen	use
nein	no
der Mann	the man
finden	find
hier	here
die Sache	the thing
geben	give
viele	many
gut	well
nur	only
sagen	tell
sehr	very
sogar	even
zurück	back
irgendein	any
gut	good
die Frau	the woman
uns	us
das Leben	the life
das Kind	the child
arbeiten	work
nieder	down
nach	after
der Anruf	the call
anrufen	to call
die Welt	the world
über	over
die Schule	the school
immer noch	still
versuchen	try
letzte	last
fragen	ask
brauchen	need
auch	too
das Gefühl	the feeling
drei	three
der Staat	the state
noch nie	never
werden	become
zwischen	between
hoch	high
wirklich	really
etwas	something
die meisten	most
ein weiterer	another
viel	much
die Familie	the family
besitzen	own
verlassen	leave
stellen	put
alt	old
während	while
bedeuten	mean
behalten	keep
der Student	the student
warum	why
lassen	let
groß	great
gleich	same
groß	big
die Gruppe	the group
start	begin
scheinen	seem
das Land	the country
hilfe	to help
sich unterhalten	talk
woher	where
wende	turn
das Problem	the problem
jeden	every
anfang	start
die Hand	the hand
macht	might
amerikanisch	American
show	show
der Teil	the part
gegen	against
der Ort	the place
eine solche	such
nochmal	again
wenige	few
der Fall	the case
die Woche	the week
das Unternehmen	the company
das System	the system
jeder	each
recht	right
das Programm	the program
hören	hear
die Frage	the question
während	during
die Arbeit	the work
abspielen	play
die Regierung	the government
lauf	run
klein	small
die Nummer	the number
immer	always
bewegung	move
die Nacht	the night
leben	live
der Herr	the Mr
die Stelle	the point
glauben	believe
halt	hold
heute	today
bringen	bring
geschehen	happen
nächster	next
ohne	without
vor	before
die million	million
muss	must
das Zuhause	the home
unter	under
das Wasser	the water
das Zimmer	the room
schreiben	write
die Mutter	the mother
das Gebiet	the area
national	national
das Geld	the money
die Geschichte	the story
jung	young
die Tatsache	the fact
der Monat	the month
anders	different
das Ganze	the lot
das Recht	the right
die Studium	the study
das Buch	the book
das Auge	the eye
die Arbeit	the job
das Wort	the word
obwohl	though
das Geschäft	the business
das Thema	the issue
die Seite	the side
die Art	the kind
vier	four
der Kopf	the head
weit	far
schwarz	black
lange	long
beide	both
wenig	little
das Haus	the house
ja	yes
schon seit	since
zu Verfügung stellen	provide
der Service	the service
um	around
der Freund	the friend
wichtig	important
der Vater	the father
sitzen	sit
weg	away
bis	until
die Macht	the power
die Stunde	the hour
das Spiel	the game
häufig	often
noch	yet
die Linie	the line
politisch	political
das Ende	the end
unter	among
je	ever
stand	stand
schlecht	bad
verlieren	lose
jedoch	however
das Mitglied	the member
zahlen	pay
das Gesetz	the law
treffen	meet
das Auto	the car
die Stadt	the city
fast	almost
einschließen	include
fortsetzen	continue
einstellen	set
später	later
die Gemeinde	the community
der Name	the name
fünf	five
einmal	once
weiß	white
am wenigsten	at least
der Präsident	the president
lernen	learn
echt	real
veränderung	change
das Team	the team
die Minute	the minute
beste	best
mehrere	several
die Idee	the idea
das Kind	the kid
der Körper	the body
die Information	the information
nichts	nothing
vor	ago
führen	lead
sozial	social
verstehen	understand
ob	whether
der Rücken	the back
uhr	watch
zusammen	together
folgen	follow
das Elternteil	the parent
halt	stop
das Gesicht	the face
erstellen	create
Öffentlichkeit	public
bereits	already
sprechen	speak
die Anderen	the others
lesen	read
die Ebene	the level
ermöglichen	allow
hinzufügen	add
das Büro	the office
verbringen	spend
die Tür	the door
die Gesundheit	the health
die Person	the person
die Kunst	the art
sicher	sure
der Krieg	the war
die Geschichte	the history
die Party	the party
innerhalb	within
wachsen	grow
das Ergebnis	the result
öffnen	open
der Wechsel	the change
der Morgen	the morning
gehen	walk
der Grund	the reason
niedrig	low
sieg	win
die Forschung	the research
das Mädchen	the girl
der Kerl	the guy
früh	early
das Essen	the food
der Moment	the moment
selbst	himself
die Luft	the air
der Lehrer	the teacher
die Kraft	the force
das Angebot	the offer
genug	enough
die Erziehung	the education
obwohl	although
merken	remember
der Fuß	the foot
zweite	second
der Junge	the boy
fähig	able
das Alter	the age
die Richtlinie	the policy
alles	everything
liebe	love
der Prozess	the process
die Musik	the music
einschließlich	including
erwägen	consider
erscheinen	appear
tatsächlich	actually
kaufen	buy
wahrscheinlich	probably
Mensch	human
warten	wait
dienen	serve
der Markt	the market
sterben	die
senden	send
Zuhause	home
der Sinn	the sense
bauen	build
bleibe	stay
fallen	fall
die Nation	the nation
der Plan	the plan
schnitt	cut
