die Zeit	the time
das Jahr	the year
die Menschen	people
der Weg	the way
der Tag	the day
der Mann	the man
die Sache	the thing
die Frau	the woman
das Leben	the life
das Kind	the child
der Anruf	the call
die Welt	the world
die Schule	the school
das Gefühl	the feeling
der Staat	the state
die meisten	most
die Familie	the family
der Student	the student
die Gruppe	the group
das Land	the country
das Problem	the problem
die Hand	the hand
der Teil	the part
der Ort	the place
der Fall	the case
die Woche	the week
das Unternehmen	the company
das System	the system
das Programm	the program
die Frage	the question
die Arbeit	the work
die Regierung	the government
die Nummer	the number
die Nacht	the night
der Herr	the Mr
die Stelle	the point
die million	million
das Zuhause	the home
das Wasser	the water
das Zimmer	the room
die Mutter	the mother
das Gebiet	the area
das Geld	the money
die Geschichte	the story
die Tatsache	the fact
der Monat	the month
das Ganze	the lot
das Recht	the right
die Studium	the study
das Buch	the book
das Auge	the eye
die Arbeit	the job
das Wort	the word
das Geschäft	the business
das Thema	the issue
die Seite	the side
die Art	the kind
der Kopf	the head
das Haus	the house
der Service	the service
der Freund	the friend
der Vater	the father
die Macht	the power
die Stunde	the hour
das Spiel	the game
die Linie	the line
das Ende	the end
das Mitglied	the member
das Gesetz	the law
das Auto	the car
die Stadt	the city
die Gemeinde	the community
der Name	the name
der Präsident	the president
das Team	the team
die Minute	the minute
die Idee	the idea
das Kind	the kid
der Körper	the body
die Information	the information
der Rücken	the back
das Elternteil	the parent
das Gesicht	the face
die Anderen	the others
die Ebene	the level
das Büro	the office
die Tür	the door
die Gesundheit	the health
die Person	the person
die Kunst	the art
der Krieg	the war
die Geschichte	the history
die Party	the party
das Ergebnis	the result
der Wechsel	the change
der Morgen	the morning
der Grund	the reason
die Forschung	the research
das Mädchen	the girl
der Kerl	the guy
das Essen	the food
der Moment	the moment
die Luft	the air
der Lehrer	the teacher
die Kraft	the force
das Angebot	the offer
die Erziehung	the education
der Fuß	the foot
der Junge	the boy
das Alter	the age
die Richtlinie	the policy
der Prozess	the process
die Musik	the music
der Markt	the market
der Sinn	the sense
die Nation	the nation
der Plan	the plan
die Hochschule	the college
die Interesse	the interest
der Tod	the death
die Erfahrung	the experience
der Effekt	the effect
die Verwendung	the use
die Klasse	the class
die Kontrolle	the control
die Pflege	the care
das Feld	the field
die Entwicklung	the development
die Rolle	the role
der Aufwand	the effort
die Rate	the rate
das Herz	the heart
das Medikament	the drug
die Show	the show
der Leiter	the leader
das Licht	the light
die Stimme	the voice
die Frau	the wife
die Polizei	the police
der Verstand	the mind
der Preis	the price
der Bericht	the report
die Entscheidung	the decision
der Sohn	the son
die Aussicht	the view
die Beziehung	the relationship
die Stadt	the town
die Straße	the road
der Arm	the arm
der Unterschied	the difference
der Wert	the value
das Gebäude	the building
die Aktion	the action
das Model	the model
die Saison	the season
die Gesellschaft	the society
die Steuer	the tax
der Direktor	the director
die Position	the position
der Spieler	the player
der Datensatz	the record
das Papier	the paper
der Raum	the space
der Boden	the ground
die Form	the form
das Ereignis	the event
das offizielle	the official
der Grund	the matter
das Zentrum	the center
das Ehepaar	the couple
der Standort	the site
das Projekt	the project
die Aktivität	the activity
der Stern	the star
der Tisch	the table
das Bedürfnis	the need
das Gericht	the court
die Amerikaner	the American
das Öl	the oil
die Situation	the situation
die Kosten	the cost
die Branche	the industry
die Figur	the figure
die Straße	the street
das Bild	the image
das Telefon	the phone
die Daten	the data
das Bild	the picture
die Übung	the practice
das Stück	the piece
das Land	the land
das Produkt	the product
der Doktor	the doctor
die Mauer	the wall
der Patient	the patient
der Arbeiter	the worker
die Nachrichten	the news
der Test	the test
der Film	the movie
der Norden	the north
die Liebe	the love
die Unterstützung	the support
die Technologie	the technology
der Schritt	the step
das Baby	the baby
der Computer	the computer
der Typ	the type
die Aufmerksamkeit	the attention
der Film	the film
die Republikaner	the Republican
der Baum	the tree
die Quelle	the source
die Organisation	the organization
das Haar	the hair
das Aussehen	the look
das Jahrhundert	the century
der Beweis	the evidence
das Fenster	the window
die Kultur	the culture
die Chance	the chance
der Bruder	the brother
die Energie	the energy
die Periode	the period
der Kurs	the course
der Sommer	the summer
die Pflanze	the plant
die Gelegenheit	the opportunity
der Begriff	the term
der Buchstabe	the letter
die Bedingung	the condition
die Wahl	the choice
die Regel	the rule
die Tochter	the daughter
die Verwaltung	the administration
der Süden	the south
der Ehemann	the husband
der Kongress	the Congress
der Boden	the floor
die Kampagne	the campaign
das Material	the material
die Bevölkerung	the population
der Anruf	the call
die Wirtschaft	the economy
das Krankenhaus	the hospital
die Kirche	the church
das Risiko	the risk
das Feuer	the fire
die Zukunft	the future
die Verteidigung	the defense
die Sicherheit	the security
die Bank	the bank
der Westen	the west
der Sport	the sport
die Tafel	the board
das Thema	the subject
der Beamte	the officer
der Rest	the rest
das Verhalten	the behavior
die Performance	the performance
die Spitze	the top
das Ziel	the goal
der Zweite	the second
das Bett	the bed
die Bestellung	the order
der Autor	the author
das Blut	the blood
die Agentur	the agency
die Natur	the nature
die Farbe	the color
das Geschäft	the store
der Klang	the sound
in der Nähe von	near
die Bewegung	the movement
die Seite	the page
das Rennen	the race
die Sorge	the concern
die Serie	the series
die Sprache	the language
die Antwort	the response
das Tier	the animal
der Faktor	the factor
das Jahrzehnt	the decade
der Artikel	the article
der Osten	the east
der Künstler	the artist
die Szene	the scene
die Aktie	the stock
die Karriere	the career
die Behandlung	the treatment
die Vorgehensweise	the approach
die Größe	the size
der Hund	the dog
die Kaution	the fund
die Medien	the media
das Schild	the sign
der Gedanke	the thought
die Liste	the list
der Einzelne	the individual
die Qualität	the quality
der Druck	the pressure
die Antwort	the answer
die Ressource	the resource
das Treffen	the meeting
die Krankheit	the disease
der Erfolg	the success
die Tasse	the cup
die Summe	the amount
die Fähigkeit	the ability
das Personal	the staff
der Charakter	the character
das Wachstum	the growth
der Verlust	the loss
das Grad	the degree
der Angriff	the attack
die Region	the region
das Fernsehen	the television
die Kiste	the box
der Fernseher	the TV
das Training	the training
der Handel	the trade
der Deal	the deal
die Wahl	the election
das Gefühl	the feeling
der Standard	the standard
die Rechnung	the bill
die Nachricht	the message
die Analyse	the analysis
der Vorteil	the benefit
das Geschlecht	the sex
der Rechtsanwalt	the lawyer
die Sektion	the section
das Glas	the glass
das Können	the skill
die Schwester	the sister
der Professor	the professor
die Operation	the operation
das Verbrechen	the crime
die Bühne	the stage
die Autorität	the authority
die Fräulein	the miss
das Design	the design
die Art	the sort
der Eine	the one
das Wissen	the knowledge
die Waffe	the gun
der Bahnhof	the station
die Strategie	the strategy
die Wahrheit	the truth
das Lied	the song
das Beispiel	the example
die Umgebung	the environment
das Bein	the leg
die Öffentlichkeit	the public
die Exekutive	the executive
der Satz	the set
der Stein	the rock
die Notiz	the note
der Geschäftsführer	the manager
die Hilfe	the help
das Netzwerk	the network
die Wissenschaft	the science
die Erinnerung	the memory
die Karte	the card
der Sitz	the seat
die Zelle	the cell
die Studie	the trial
der Experte	the expert
der Frühling	the spring
die Firma	the firm
der Demokrat	the Democrat
das Radio	the radio
das Management	the management
der Ball	the ball
das Gespräch	the talk
die Theorie	the theory
der Aufprall	the impact
die Aussage	the statement
die Ladung	the charge
die Richtung	the direction
die Waffe	the weapon
der Arbeitnehmer	the employee
der Frieden	the peace
die Basis	the base
der Schmerz	the pain
das Spiel	the play
die Maßnahme	the measure
das Interview	the interview
der Stuhl	the chair
der Fisch	the fish
die Kamera	the camera
die Struktur	the structure
die Politiker	the politics
das Bit	the bit
das Gewicht	the weight
der Kandidat	the candidate
die Produktion	the production
die Reise	the trip
der Abend	the evening
die Konferenz	the conference
die Einheit	the unit
der Style	the style
der erwachsene	the adult
die Reichweite	the range
die Vergangenheit	the past
die Kante	the edge
der Schriftsteller	the writer
die Schwierigkeiten	the trouble
die Herausforderung	the challenge
die Angst	the fear
die Schulter	the shoulder
die Institution	the institution
das Meer	the sea
der Traum	the dream
die Bar	the bar
die Eigenschaft	the property
das Zeug	the stuff
das Detail	the detail
die Methode	the method
die Zeitschrift	the magazine
das Hotel	the hotel
der Soldat	the soldier
die Ursache	the cause
die Tasche	the bag
die Hitze	the heat
der Herbst	the fall
die Ehe	the marriage
die Oberfläche	the surface
die Absicht	the purpose
das Muster	the pattern
die Haut	the skin
der Agent	the agent
der Besitzer	the owner
die Maschine	the machine
das Gas	the gas
die Generation	the generation
der Krebs	the cancer
der Gegenstand	the item
die Realität	the reality
der Trainer	the coach
der Hof	the yard
die Gewalt	the violence
die Investition	the investment
die Diskussion	the discussion
der Finger	the finger
der Garten	the garden
die Sammlung	the collection
die Aufgabe	the task
der Partner	the partner
die Küche	the kitchen
der Verbraucher	the consumer
der Schuss	the shot
das Budget	the budget
das Gemälde	the painting
der Wissenschaftler	the scientist
die Vereinbarung	the agreement
die Hauptstadt	the capital
der Mund	the mouth
das Opfer	the victim
die Zeitung	the newspaper
die Drohung	the threat
die Verantwortung	the responsibility
der Anwalt	the attorney
die Punktzahl	the score
das Konto	the account
die Pause	the break
die Zuschauer	the audience
das Abendessen	the dinner
die Debatte	the debate
der Bürger	the citizen
die Mehrheit	the majority
der Wind	the wind
die Mission	the mission
der Kunde	the customer
die Rede	the speech
die Option	the option
der Teilnehmer	the participant
der Wald	the forest
das Video	the video
der Senat	the Senate
die Reform	the reform
der Zugang	the access
das Restaurant	the restaurant
der Richter	the judge
die Beziehung	the relation
der Vogel	the bird
die Meinung	the opinion
der Kredit	the credit
die Ecke	the corner
die Version	the version
die Sicherheit	the safety
die Nachbarschaft	the neighborhood
der Akt	the act
das Einkommen	the income
die Arten	the species
die Strecke	the track
die Hoffnung	the hope
der Himmel	the sky
die Freiheit	the freedom
das Flugzeug	the plane
das Objekt	the object
die Attitüde	the attitude
das Konzept	the concept
der Kunde	the client
die Unterhaltung	the conversation
die Vielfalt	the variety
die Wende	the turn
die Ermittlung	the investigation
der Forscher	the researcher
die Presse	the press
der Konflikt	the conflict
der Geist	the spirit
das Argument	the argument
das Lager	the camp
das Gehirn	the brain
das Merkmal	the feature
der Nachmittag	the afternoon
das Wochenende	the weekend
die Möglichkeit	the possibility
die Versicherung	the insurance
die Abteilung	the department
der Kampf	the battle
der Anfang	the beginning
das Datum	the date
die Krise	the crisis
der Fan	the fan
das Loch	the hole
das Element	the element
die Vision	the vision
der Status	the status
das Schiff	the ship
die Lösung	the solution
der Stein	the stone
die Skala	the scale
die Universität	the university
der Fahrer	the driver
der Versuch	the attempt
der Park	the park
die Stelle	the spot
der Mangel	the lack
das Eis	the ice
das Boot	the boat
die Sonne	the sun
die Distanz	the distance
das Holz	the wood
der LKW	the truck
die Rückkehr	the return
der Berg	the mountain
die Umfrage	the survey
die Tradition	the tradition
der Winter	the winter
das Dorf	the village
die Verkäufe	the sales
